"성별","연령계층별",2025.05,2025.06,2025.07,2025.08,2025.09,2025.10
"계","계",29160,29091,29029,28967,29154,29040
"계","15 - 29세",3682,3625,3633,3571,3564,3521
"계","15 - 19세",140,135,139,137,129,126
"계","20 - 29세",3542,3490,3494,3434,3435,3396
"계","30 - 39세",5573,5563,5566,5557,5606,5569
"계","40 - 49세",6162,6151,6130,6114,6145,6138
"계","50 - 59세",6695,6710,6692,6675,6709,6703
"계","60세이상",7049,7042,7008,7051,7129,7110
"계","15 - 64세",24870,24797,24745,24619,24750,24623
"계","15 - 24세",1221,1179,1204,1159,1155,1125
"남자","계",16120,16072,16032,16023,16068,16005
"남자","15 - 29세",1770,1722,1729,1698,1680,1671
"남자","15 - 19세",59,57,59,58,56,51
"남자","20 - 29세",1710,1666,1670,1640,1624,1621
"남자","30 - 39세",3187,3198,3201,3191,3194,3172
"남자","40 - 49세",3568,3567,3557,3550,3556,3541
"남자","50 - 59세",3777,3777,3758,3764,3776,3761
"남자","60세이상",3819,3809,3787,3820,3862,3860
"남자","15 - 64세",13833,13781,13749,13707,13722,13646
"남자","15 - 24세",495,476,504,485,471,457
"여자","계",13040,13018,12997,12944,13086,13035
"여자","15 - 29세",1912,1903,1904,1872,1884,1850
"여자","15 - 19세",81,78,80,79,74,75
"여자","20 - 29세",1831,1824,1824,1794,1811,1775
"여자","30 - 39세",2387,2365,2365,2366,2411,2397
"여자","40 - 49세",2594,2585,2573,2564,2589,2597
"여자","50 - 59세",2918,2933,2934,2910,2933,2941
"여자","60세이상",3229,3233,3221,3231,3268,3250
"여자","15 - 64세",11037,11016,10996,10912,11028,10977
"여자","15 - 24세",726,703,700,673,684,668
